jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level,cert_id,certification_text,is_mandatory
2804,Middle,Kubernetes,Singapore,,5000,7000,SGD,Full time,,,3,Bachelor Degree,,,
2807,Middle,IT Project Management,Singapore,,5500,7000,SGD,Contract/Temp,,,5,Bachelor Degree,1370,ITIL,0
2807,Middle,IT Project Management,Singapore,,5500,7000,SGD,Contract/Temp,,,5,Bachelor Degree,1371,PMP,0
2807,Middle,IT Project Management,Singapore,,5500,7000,SGD,Contract/Temp,,,5,Bachelor Degree,1372,PMI,0
2807,Middle,IT Project Management,Singapore,,5500,7000,SGD,Contract/Temp,,,5,Bachelor Degree,1373,CMMI,0
2841,Middle,FIS Open Payment Framework,Singapore,,,,,Full time,,,4,Bachelor Degree,,,
2904,Middle,Cloud,Singapore,,,,,Full time,,,3,Bachelor Degree,1410,ISC2 (CISSP/CCSP/SSCP),0
2904,Middle,Cloud,Singapore,,,,,Full time,,,3,Bachelor Degree,1411,ISACA (CISA/CISM/CRISC),0
2904,Middle,Cloud,Singapore,,,,,Full time,,,3,Bachelor Degree,1412,Cisco (CCNA/CCNP/CCIE),0
2904,Middle,Cloud,Singapore,,,,,Full time,,,3,Bachelor Degree,1413,Cisco (CCNA/CCNP/CCIE),0
2941,Senior,SAP FICO,Singapore,,14000,18000,SGD,Full time,,,10,Bachelor Degree,1435,PMP,0
2941,Senior,SAP FICO,Singapore,,14000,18000,SGD,Full time,,,10,Bachelor Degree,1436,CITPM,0
2950,,Cloud Security,Singapore,,,,,Full time,,,9,Bachelor Degree,,,
2954,Middle,Trading Systems,Singapore,,,,,Full time,,,2,Bachelor Degree,,,
2978,Middle,Software Engineering,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
3048,Middle,Telecommunications,Singapore,,60000,90000,SGD,Full time,,,2,Bachelor Degree,,,
3054,,Data Management,Singapore,,,,,Full time,,,3,Bachelor Degree,,,
3057,Senior,iOS,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
3058,Junior,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,1483,Cisco (CCNA/CCNP/CCIE),1
3058,Junior,Networks,Singapore,,,,,Full time,,,1,Bachelor Degree,1484,SDWAN,1
3072,,Security,Singapore,,,,,Contract/Temp,,,,Bachelor Degree,1485,ISC2 (CISSP/CCSP/SSCP),1
3081,Senior,Microsoft,Singapore,,,,,Full time,,,7,Bachelor Degree,,,
3096,Senior,Business Intelligence,Singapore,,5000,7000,SGD,Full time,,,2,Bachelor Degree,,,
3115,Senior,C#/.Net,Singapore,,6500,8000,SGD,Full time,,,5,Bachelor Degree,,,
3132,Senior,Gamification,Singapore,,,,,Full time,,,,Bachelor Degree,,,
3157,Senior,Data Governance,Singapore,,,,,Full time,Hybrid,,8,Bachelor Degree,1519,PMP,0
3157,Senior,Data Governance,Singapore,,,,,Full time,Hybrid,,8,Bachelor Degree,1520,PGMP,0
3280,Middle,3D,Singapore,,,,,Full time,,,,Bachelor Degree,,,
3288,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1546,CITPM,0
3288,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1547,ITIL,0
3288,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1548,ISC2 (CISSP/CCSP/SSCP),0
3288,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1549,ISACA (CISA/CISM/CRISC),0
3288,Senior,Operational Technology,Singapore,,,,,Full time,,,4,Bachelor Degree,1550,COMIT,0
3322,Middle,Trust and Safety,Singapore,,,,,Full time,Office,No,3,Bachelor Degree,,,
3331,Middle,AI Data Service,Singapore,,,,,Full time,Office,No,5,Bachelor Degree,,,
3334,Middle,Data Analysis,Singapore,,,,,Full time,,,1,Bachelor Degree,,,
3421,Middle,Java,Singapore,,,,,Full time,,,,Bachelor Degree,,,
3460,Senior,Programme & Project Management,Singapore,,,,,Full time,,,10,Bachelor Degree,1627,Testing or quality certifications,0
3460,Senior,Programme & Project Management,Singapore,,,,,Full time,,,10,Bachelor Degree,1628,PMP,0
3460,Senior,Programme & Project Management,Singapore,,,,,Full time,,,10,Bachelor Degree,1629,Test Maturity Model integration (TMMi) Framework awareness,0
3461,Senior,AWS,Singapore,,,,,Full time,,,5,Bachelor Degree,,,
3517,Middle,DX,Singapore,,6000,6500,SGD,Full time,Hybrid,,3,Bachelor Degree,1649,PMP,1
3517,Middle,DX,Singapore,,6000,6500,SGD,Full time,Hybrid,,3,Bachelor Degree,1650,CBAP,1
3517,Middle,DX,Singapore,,6000,6500,SGD,Full time,Hybrid,,3,Bachelor Degree,1651,PMI,1
3517,Middle,DX,Singapore,,6000,6500,SGD,Full time,Hybrid,,3,Bachelor Degree,1652,CSM,1
3517,Middle,DX,Singapore,,6000,6500,SGD,Full time,Hybrid,,3,Bachelor Degree,1653,ITIL,1
3628,,Desktop Support,Singapore,,2500,2800,SGD,Full time,,,1,Bachelor Degree,1682,CompTIA (A+/Network+/Linux+/Security+),1
3628,,Desktop Support,Singapore,,2500,2800,SGD,Full time,,,1,Bachelor Degree,1683,Microsoft (except Azure),1
3697,Senior,,Singapore,,5000,6000,SGD,Full time,,,5,Bachelor Degree,,,
