jobid,level,tech_specialisation,country,state,salary_from,salary_to,currency,type,mode,visa_sponsorship,work_experience_years,education_level
5694,Senior,Mobile Application Development,Australia,QLD,,,,Full time,Hybrid,No,,Bachelor Degree
29573,Senior,Networks,Australia,ACT,,,,Contract/Temp,Office,,5,Bachelor Degree
3399,Senior,Data centre,Australia,NSW,,,,Contract/Temp,,No,10,Bachelor Degree
12844,Senior,ACI,Australia,NSW,1000,1000,AUD,Contract/Temp,,,10,Bachelor Degree
13498,Middle,Shopify,Australia,VIC,70000,70000,AUD,Full time,,,1,Bachelor Degree
16355,,,Hong Kong,,,,,Contract/Temp,,,8,Bachelor Degree
23383,Senior,Microsoft Power Platform,Thailand,,,,,Full time,,,3,Bachelor Degree
27980,,Procurement,Singapore,,,,,Full time,,,5,Bachelor Degree
32456,Senior,Charging and Billing Systems,Philippines,,,,,Full time,Hybrid,,10,Bachelor Degree
29357,,MuleSoft,Australia,ACT,,,,Contract/Temp,,,4,Bachelor Degree
7165,Middle,Business Analysis,Philippines,,22000,30000,PHP,Full time,,,2,Bachelor Degree
20356,Middle,,Philippines,,32000,40000,PHP,Full time,,,3,Bachelor Degree
30803,Junior,.NET,Philippines,,,,,Full time,Hybrid,,1,Bachelor Degree
27844,Senior,Product Management & Development,Singapore,,,,,Full time,,,8,Bachelor Degree
21200,Middle,Integrations,Australia,NSW,50,53,AUD,Contract/Temp,,,2,Bachelor Degree
24938,Middle,Java,Singapore,,5000,6500,SGD,Full time,,,,Bachelor Degree
27073,Junior,Help Desk,Philippines,,18000,25000,PHP,Full time,,,1,Bachelor Degree
13946,Middle,Full Stack,Indonesia,,,,,Full time,,,,Bachelor Degree
23522,,iOS,Philippines,,50000,75000,PHP,Full time,,,2,Bachelor Degree
7448,,Full Stack,Philippines,,80000,100000,PHP,Full time,,,3,Bachelor Degree
519,Senior,SIEM,Australia,NSW,,,,Contract/Temp,,,5,Bachelor Degree
10606,Middle,Networks & Systems Administration,Philippines,,,,,Full time,Remote,,2,Bachelor Degree
25404,Senior,Microsoft Dynamics 365 CRM,Philippines,,60000,70000,PHP,Full time,Hybrid,,3,Bachelor Degree
31146,Middle,Frontend Development,Philippines,,30000,40000,PHP,Full time,,,3,Bachelor Degree
27378,,,Philippines,,60000,80000,PHP,Full time,,,1,Bachelor Degree
20114,,React,Malaysia,,6700,10000,MYR,Full time,,,3,Bachelor Degree
32205,Senior,IT Support,Australia,QLD,,,,Full time,,,5,Bachelor Degree
8893,,Security System/CCTV,Singapore,,,,,Full time,,,3,Bachelor Degree
24298,Senior,Enterprise Architecture,Singapore,,,,,Full time,,,6,Bachelor Degree
14976,Senior,Java,Thailand,,,,,Full time,,,8,Bachelor Degree
3939,Middle,C,Malaysia,,,,,Full time,,,3,Bachelor Degree
12195,Junior,Data Analytics,Singapore,,,,,Full time,,,,Bachelor Degree
12632,Senior,SAP,Malaysia,,7500,10500,MYR,Full time,,,4,Bachelor Degree
27872,,Actuarial Services,Malaysia,,,,,Full time,,,,Bachelor Degree
29536,,Sales,New Zealand,,58000,65000,NZD,Full time,,,3,Bachelor Degree
13154,Senior,Ab Initio,Australia,NSW,,,,Full time,,,8,Bachelor Degree
21991,Lead,SAP Ariba,Hong Kong,,,,,Full time,,,10,Bachelor Degree
8615,Senior,Ab Initio,Australia,NSW,,,,Full time,,,8,Bachelor Degree
17251,Middle,Service Management,Malaysia,,,,,Full time,,,,Bachelor Degree
3757,Senior,Product Management,Singapore,,,,,Full time,Hybrid,,10,Bachelor Degree
29988,,Procurement,Singapore,,,,,Full time,,,5,Bachelor Degree
18878,Senior,Oracle Fusion,Australia,VIC,109104,121370,AUD,Full time,Hybrid,,5,Bachelor Degree
16,Senior,Data Quality,Philippines,,80000,80000,PHP,Full time,,,5,Bachelor Degree
18,Senior,Full Stack,Philippines,,60000,60000,PHP,Full time,Hybrid,,4,Bachelor Degree
19,Middle,C#,Philippines,,,,,Full time,Office,,4,Bachelor Degree
21,Middle,Linux Administration,Philippines,,,,,Full time,,,2,Bachelor Degree
22,Middle,DevOps,Philippines,,35000,35000,PHP,Full time,,,2,Bachelor Degree
23,Junior,DevOps,Philippines,,,,,Full time,Hybrid,,1,Bachelor Degree
25,Middle,Performance Testing,Philippines,,,,,Full time,,,4,Bachelor Degree
26,Middle,JavaScript,Philippines,,,,,Full time,,,2,Bachelor Degree
31,Middle,Logistics,Philippines,,,,,Full time,Office,,2,Bachelor Degree
32,Middle,C#,Philippines,,,,,Full time,,,2,Bachelor Degree
34,Middle,Angular,Indonesia,,,,,Contract/Temp,,,2,Bachelor Degree
35,Lead,API,Indonesia,,,,,Contract/Temp,Office,,5,Bachelor Degree
41,Middle,AI,Indonesia,,,,,Full time,Hybrid,,3,Bachelor Degree
43,Middle,Information Security,Indonesia,,,,,Full time,,,,Bachelor Degree
45,Middle,ETL,Indonesia,,,,,Contract/Temp,Office,,3,Bachelor Degree
46,Senior,C/C++,Malaysia,,8000,12000,MYR,Full time,,,5,Bachelor Degree
48,Middle,Computer Hardware,Singapore,,,,,Full time,,,3,Bachelor Degree
50,Middle,Programme & Project Management,Australia,VIC,,,,Full time,,,4,Bachelor Degree
52,Middle,MS SQL,New Zealand,,100000,150000,NZD,Full time,Hybrid,No,,Bachelor Degree
55,Senior,QA,Philippines,,,,,Full time,,,5,Bachelor Degree
56,Senior,Infrastructure,Philippines,,,,,Full time,,,7,Bachelor Degree
60,Middle,Software Testing,Philippines,,,,,Full time,,,3,Bachelor Degree
65,Junior,IOT,Hong Kong,,,,,Internship,Office,,,Bachelor Degree
66,Senior,Oracle Database,Hong Kong,,,,,Full time,,,10,Bachelor Degree
68,Middle,Electronics,Thailand,,,,,Full time,,,5,Bachelor Degree
69,Middle,Travel Agency Services,Thailand,,,,,Full time,,,,Bachelor Degree
71,Middle,PCT OT,Indonesia,,,,,Full time,,,,Bachelor Degree
73,Middle,Software Engineering,Malaysia,,,,,Full time,,,3,Bachelor Degree
74,Senior,QA,Malaysia,,,,,Full time,,,5,Bachelor Degree
75,Middle,IT Support,Philippines,,,,,Full time,Office,,3,Bachelor Degree
77,Senior,IT,Malaysia,,5000,6000,MYR,Full time,,,3,Bachelor Degree
79,Middle,Python Django,Philippines,,80000,110000,PHP,Full time,,,,Bachelor Degree
80,Senior,Product Management,Australia,NSW,,,,Full time,,,,Bachelor Degree
81,Senior,iPower,Australia,NSW,,,,Full time,Hybrid,,7,Bachelor Degree
83,Middle,Product Management,Hong Kong,,,,,Full time,,,,Bachelor Degree
86,Middle,UNIX/Linux,Singapore,,,,,Full time,,,,Bachelor Degree
88,Middle,Cybersecurity,Singapore,,,,,Full time,,,4,Bachelor Degree
91,Junior,,Singapore,,,,,Full time,,,1,Bachelor Degree
96,Middle,PHP,Singapore,,,,,Full time,,,,Bachelor Degree
97,Junior,Java,Singapore,,,,,Full time,,,1,Bachelor Degree
104,Senior,Java,Singapore,,,,,Contract/Temp,,,5,Bachelor Degree
106,Middle,Project Management,Singapore,,,,,Contract/Temp,,,3,Bachelor Degree
110,Senior,Customer Success,Philippines,,,,,Full time,Office,,8,Bachelor Degree
112,Middle,EDI,Philippines,,50000,65000,PHP,Full time,,,,Bachelor Degree
113,Middle,Reports Analysis,Philippines,,,,,Full time,Hybrid,,,Bachelor Degree
114,Junior,Information Technology,Philippines,,,,,Full time,,,10,Bachelor Degree
117,,IT,Philippines,,,,,Full time,,,3,Bachelor Degree
119,Junior,PHP,Philippines,,,,,Full time,Office,,1,Bachelor Degree
127,Middle,Angular,Philippines,,,,,Full time,,,,Bachelor Degree
141,Middle,Risk Management,Malaysia,,,,,Full time,,,,Bachelor Degree
142,Middle,Data Center Operations,Malaysia,,,,,Full time,,,3,Bachelor Degree
145,Senior,Java,Malaysia,,,,,Full time,Office,,5,Bachelor Degree
147,Junior,PHP,Malaysia,,,,,Contract/Temp,,,1,Bachelor Degree
149,Middle,Java,Malaysia,,,,,Full time,,,2,Bachelor Degree
159,Senior,Oracle Cloud Technology,Philippines,,,,,Full time,,,4,Bachelor Degree
160,Middle,System Administration,Malaysia,,3000,5500,MYR,Full time,Office,,3,Bachelor Degree
161,Middle,Operations,Malaysia,,,,,Contract/Temp,,,,Bachelor Degree
162,Middle,Manual Testing,Malaysia,,,,,Contract/Temp,,,5,Bachelor Degree
165,Senior,Python,Malaysia,,6000,9000,MYR,Full time,,,5,Bachelor Degree
170,Senior,Shopify,Philippines,,,,,Full time,Remote,,5,Bachelor Degree
174,,,Philippines,,,,,Full time,,,2,Bachelor Degree
177,Middle,TypeScript,Philippines,,,,,Full time,,,2,Bachelor Degree
182,Middle,Snowflake,Philippines,,,,,Full time,Hybrid,,,Bachelor Degree
185,Middle,POS / ERP,Singapore,,,,,Full time,,,3,Bachelor Degree
189,Middle,Network Operations,Philippines,,,,,Full time,,,1,Bachelor Degree
195,Senior,Digital Transformation,Hong Kong,,,,,Full time,,,5,Bachelor Degree
196,Senior,Microsoft Power Platform,Hong Kong,,,,,Full time,,,,Bachelor Degree
198,Middle,RPG,Thailand,,,,,Full time,,,2,Bachelor Degree
200,Senior,.NET,Malaysia,,8000,9000,MYR,Full time,,,5,Bachelor Degree
204,Middle,.NET,Philippines,,63000,70000,PHP,Full time,,,,Bachelor Degree
206,,Workday,Philippines,,165000,220000,PHP,Full time,Hybrid,,7,Bachelor Degree
207,Lead,SQL,Singapore,,3667,5500,SGD,Full time,Remote,,2,Bachelor Degree
211,Junior,,Hong Kong,,,,,Full time,,,,Bachelor Degree
215,Middle,Microsoft,Philippines,,,,,Full time,,,4,Bachelor Degree
218,Senior,Cybersecurity,Philippines,,,,,Full time,Remote,,5,Bachelor Degree
219,Middle,Java,Hong Kong,,,,,Full time,,No,2,Bachelor Degree
221,Senior,Testing & Quality Assurance,Australia,ACT,,,,Full time,,,,Bachelor Degree
222,Lead,Security,Philippines,,,,,Full time,Hybrid,,5,Bachelor Degree
227,Middle,IT,Hong Kong,,,,,Full time,Office,,5,Bachelor Degree
228,,Software Engineering,Philippines,,,,,Full time,,,,Bachelor Degree
233,Junior,Laravel,Singapore,,3000,4500,SGD,Full time,Office,,,Bachelor Degree
234,Middle,SQL,Hong Kong,,,,,Full time,,No,3,Bachelor Degree
235,Middle,UKG Workforce Ready,Philippines,,,,,Full time,Office,,2,Bachelor Degree
236,,ASP.NET MVC,Philippines,,,,,Full time,,,2,Bachelor Degree
238,Middle,Microsoft SQL Server,Philippines,,,,,Full time,,,3,Bachelor Degree
240,Lead,Python,Philippines,,,,,Full time,,,3,Bachelor Degree
243,Middle,React.js,Philippines,,,,,Full time,,,2,Bachelor Degree
244,Lead,.NET,Philippines,,,,,Full time,Hybrid,,9,Bachelor Degree
245,Lead,Cyber Security,Singapore,,9000,11000,SGD,Full time,,,8,Bachelor Degree
250,Senior,Java,Singapore,,5000,6000,SGD,Full time,,,5,Bachelor Degree
251,Middle,C#,Indonesia,,4000000,6000000,IDR,Full time,,,2,Bachelor Degree
256,Senior,Active Directory,Malaysia,,4700,7000,MYR,Full time,,,8,Bachelor Degree
257,Middle,Puppet,Malaysia,,5500,7500,MYR,Full time,,,2,Bachelor Degree
258,Senior,Information Technology,Philippines,,,,,Full time,,,7,Bachelor Degree
260,Middle,IT Service Management,Malaysia,,4670,7000,MYR,Full time,,,4,Bachelor Degree
262,Junior,,Philippines,,,,,Full time,Office,,,Bachelor Degree
263,Junior,Electrical,Philippines,,,,,Full time,,,2,Bachelor Degree
269,Middle,IAM,Malaysia,,6000,9000,MYR,Full time,,,1,Bachelor Degree
270,Middle,Java,Indonesia,,8000000,12000000,IDR,Contract/Temp,,,,Bachelor Degree
271,Middle,Firmware,Singapore,,6000,8000,SGD,Full time,,,,Bachelor Degree
272,Middle,JavaScript,Hong Kong,,60000,80000,HKD,Full time,,,,Bachelor Degree
276,Lead,Microsoft 365,Singapore,,,,,Full time,,,5,Bachelor Degree
277,Senior,Cyber Security,Philippines,,100000,150000,PHP,Full time,,,,Bachelor Degree
278,Senior,IT Security Governance,Singapore,,7500,10000,SGD,Full time,,,3,Bachelor Degree
279,Middle,Web Development,Thailand,,50000,75000,THB,Full time,,,2,Bachelor Degree
280,,,Thailand,,,,,Full time,,,1,Bachelor Degree
281,Senior,Cisco ACI,Singapore,,5000,7000,SGD,Full time,,,6,Bachelor Degree
282,Senior,Enterprise Architecture,Thailand,,,,,Full time,,,3,Bachelor Degree
283,,Azure,Singapore,,5000,7000,SGD,Full time,,,5,Bachelor Degree
288,Senior,Project Management,Singapore,,12000,18000,SGD,Full time,,,10,Bachelor Degree
289,Junior,ICT Consulting,Singapore,,7000,10000,SGD,Full time,,,3,Bachelor Degree
290,Middle,IT Support,Thailand,,,,,Full time,,,,Bachelor Degree
296,Middle,End User Support,Philippines,,,,,Full time,,,4,Bachelor Degree
297,Senior,,Philippines,,,,,Full time,,,7,Bachelor Degree
299,Senior,Cybersecurity,Hong Kong,,45000,68000,,Full time,,,5,Bachelor Degree
300,Middle,IT Project Management,Hong Kong,,40000,50000,,Full time,Office,,,Bachelor Degree
305,Senior,React,Hong Kong,,22000,33000,HKD,Full time,,,3,Bachelor Degree
306,Middle,Golang,Australia,VIC,,,,Full time,,,,Bachelor Degree
310,,Java,Philippines,,,,,Full time,,,,Bachelor Degree
